class,filename,ymax,xmax,ymin,xmin,width,height
Golden_retriever,n02099601_6338.jpg,356,290,218,194,500,375
Miniature_pinscher,n02107312_458.jpg,332,499,0,118,500,333
Curly-coated_retriever,n02099429_3402.jpg,225,234,8,57,236,257
Scottish_deerhound,n02092002_3500.jpg,312,263,16,31,300,314
Italian_greyhound,n02091032_978.jpg,313,389,50,134,500,332
EntleBucher,n02108000_1574.jpg,278,183,0,12,201,280
Bull_mastiff,n02108422_647.jpg,423,254,156,65,333,500
Miniature_poodle,n02113712_211.jpg,288,219,12,21,251,300
Bloodhound,n02088466_9356.jpg,498,266,260,0,375,500
Norwegian_elkhound,n02091467_3135.jpg,374,344,40,149,500,375
Afghan_hound,n02088094_11182.jpg,343,300,68,156,500,375
Miniature_pinscher,n02107312_744.jpg,336,332,120,204,500,375
Shih-Tzu,n02086240_7299.jpg,327,400,109,123,500,375
Lakeland_terrier,n02095570_4782.jpg,457,232,215,100,333,500
EntleBucher,n02108000_2369.jpg,299,361,26,25,450,314
Great_Pyrenees,n02111500_5057.jpg,236,434,83,74,500,281
Lakeland_terrier,n02095570_4347.jpg,264,275,44,116,500,331
Greater_Swiss_Mountain_dog,n02107574_2474.jpg,498,322,72,1,375,500
Afghan_hound,n02088094_4420.jpg,336,421,113,154,500,375
Komondor,n02105505_521.jpg,288,287,123,112,330,323
Italian_greyhound,n02091032_8855.jpg,443,283,77,26,332,500
Norwich_terrier,n02094258_3598.jpg,289,448,62,244,500,375
Brabancon_griffon,n02112706_220.jpg,229,287,1,6,305,230
Shetland_sheepdog,n02105855_7224.jpg,498,447,32,25,465,500
Otterhound,n02091635_1192.jpg,125,99,93,69,345,230
Bernese_mountain_dog,n02107683_673.jpg,498,331,2,28,333,500
Samoyed,n02111889_15020.jpg,252,313,137,154,500,333
Dandie_Dinmont,n02096437_2117.jpg,172,236,9,8,250,188
Brabancon_griffon,n02112706_1712.jpg,284,181,3,35,215,287
Kelpie,n02105412_7533.jpg,366,308,108,16,375,500
Chow,n02112137_12685.jpg,481,436,12,40,498,500
Kelpie,n02105412_2800.jpg,374,462,27,0,500,375
Kerry_blue_terrier,n02093859_3106.jpg,290,305,13,8,326,299
Basenji,n02110806_2627.jpg,447,412,29,54,500,495
Afghan_hound,n02088094_4678.jpg,407,145,223,16,396,500
Rhodesian_ridgeback,n02087394_3311.jpg,210,499,63,373,500,333
Sealyham_terrier,n02095889_2204.jpg,424,266,144,48,300,426
Papillon,n02086910_5707.jpg,318,499,57,206,500,337
Standard_poodle,n02113799_3945.jpg,354,225,50,87,500,375
Scottish_deerhound,n02092002_3494.jpg,386,487,29,16,495,398
Schipperke,n02104365_9143.jpg,393,265,26,0,375,500
Bouvier_des_Flandres,n02106382_3080.jpg,279,327,13,24,365,286
Lakeland_terrier,n02095570_6194.jpg,340,317,31,108,500,375
Tibetan_mastiff,n02108551_4426.jpg,254,303,45,48,340,255
Norwegian_elkhound,n02091467_5003.jpg,303,428,52,141,500,375
Lakeland_terrier,n02095570_3735.jpg,374,411,0,59,500,375
Giant_schnauzer,n02097130_983.jpg,374,420,1,200,500,375
Sussex_spaniel,n02102480_5734.jpg,402,564,29,201,580,418
Greater_Swiss_Mountain_dog,n02107574_1092.jpg,319,499,170,392,500,375
Japanese_spaniel,n02085782_3031.jpg,144,114,34,5,150,170
Boston_bull,n02096585_10823.jpg,498,357,1,78,375,500
Miniature_pinscher,n02107312_5113.jpg,498,327,0,1,375,500
English_foxhound,n02089973_3119.jpg,422,269,3,17,293,425
Irish_wolfhound,n02090721_4341.jpg,332,353,69,111,500,333
Blenheim_spaniel,n02086646_3059.jpg,399,457,1,27,500,400
Brittany_spaniel,n02101388_4240.jpg,792,1077,313,26,1138,1046
Gordon_setter,n02101006_638.jpg,143,199,1,1,200,144
Newfoundland,n02111277_5168.jpg,273,307,56,104,500,375
Toy_poodle,n02113624_1077.jpg,472,288,12,39,329,480
Groenendael,n02105056_5638.jpg,398,464,190,311,500,400
Norwegian_elkhound,n02091467_4268.jpg,332,232,0,0,500,333
Toy_terrier,n02087046_2551.jpg,498,356,0,125,375,500
Kelpie,n02105412_2803.jpg,326,470,25,114,500,390
Pekinese,n02086079_11664.jpg,332,398,10,0,500,333
Scottish_deerhound,n02092002_14315.jpg,310,357,172,96,500,402
Toy_poodle,n02113624_9105.jpg,373,342,12,1,500,375
Samoyed,n02111889_1451.jpg,273,408,73,131,500,375
Sealyham_terrier,n02095889_4814.jpg,198,382,61,144,400,213
Rhodesian_ridgeback,n02087394_9712.jpg,303,315,15,92,500,375
Pembroke,n02113023_14516.jpg,317,330,86,53,500,400
Chow,n02112137_3467.jpg,367,401,74,207,500,375
Rhodesian_ridgeback,n02087394_8935.jpg,332,228,37,87,500,333
Samoyed,n02111889_9001.jpg,316,454,36,1,500,333
Border_collie,n02106166_204.jpg,498,341,80,76,375,500
Giant_schnauzer,n02097130_5281.jpg,310,298,141,154,500,333
Australian_terrier,n02096294_250.jpg,281,188,34,21,190,284
Cairn,n02096177_11415.jpg,245,453,47,156,500,375
Pomeranian,n02112018_7019.jpg,277,419,68,176,500,333
German_short-haired_pointer,n02100236_486.jpg,273,499,11,231,500,359
Dandie_Dinmont,n02096437_3112.jpg,125,195,10,13,200,140
Brabancon_griffon,n02112706_888.jpg,374,499,7,151,500,375
Old_English_sheepdog,n02105641_11313.jpg,903,742,214,41,829,982
Beagle,n02088364_15690.jpg,254,488,16,89,500,333
Old_English_sheepdog,n02105641_9950.jpg,238,192,61,52,400,300
Yorkshire_terrier,n02094433_730.jpg,374,374,0,118,500,375
Rottweiler,n02106550_6965.jpg,332,381,24,39,500,333
Rhodesian_ridgeback,n02087394_7186.jpg,151,173,5,48,203,152
Doberman,n02107142_8437.jpg,497,361,70,21,375,500
Maltese_dog,n02085936_4781.jpg,287,374,0,82,500,333
Whippet,n02091134_14209.jpg,254,275,88,180,500,335
Toy_poodle,n02113624_300.jpg,338,298,15,9,325,347
Miniature_poodle,n02113712_2405.jpg,713,311,26,26,493,753
Great_Dane,n02109047_32635.jpg,1045,626,227,321,800,1067
Cairn,n02096177_5279.jpg,374,236,16,66,500,375
Saint_Bernard,n02109525_8704.jpg,292,328,26,8,360,311
Rhodesian_ridgeback,n02087394_7875.jpg,317,407,123,115,500,375
Gordon_setter,n02101006_2907.jpg,380,251,27,35,252,381
Basenji,n02110806_1902.jpg,942,1333,122,468,1536,1024
Boston_bull,n02096585_1572.jpg,374,365,0,111,500,375
Border_collie,n02106166_3253.jpg,498,320,70,0,375,500
Basset,n02088238_7232.jpg,297,396,90,100,500,375
Tibetan_terrier,n02097474_5996.jpg,363,499,0,14,500,364
Pekinese,n02086079_23100.jpg,232,161,32,39,192,275
Eskimo_dog,n02109961_1948.jpg,552,444,66,55,500,554
Greater_Swiss_Mountain_dog,n02107574_298.jpg,351,420,103,0,500,375
Yorkshire_terrier,n02094433_96.jpg,287,348,7,0,360,288
Irish_terrier,n02093991_2442.jpg,280,339,69,71,400,300
Blenheim_spaniel,n02086646_637.jpg,436,372,52,122,375,500
English_setter,n02100735_3942.jpg,273,182,83,0,200,299
Brabancon_griffon,n02112706_643.jpg,137,151,25,64,200,150
Newfoundland,n02111277_3034.jpg,348,233,108,45,500,375
Basset,n02088238_10129.jpg,282,439,42,77,500,375
French_bulldog,n02108915_3202.jpg,496,302,56,36,374,500
Bouvier_des_Flandres,n02106382_3770.jpg,645,701,60,68,813,688
Great_Dane,n02109047_16735.jpg,466,356,45,77,403,478
Boston_bull,n02096585_2671.jpg,374,347,0,65,500,375
Shetland_sheepdog,n02105855_14868.jpg,234,353,132,232,500,375
Soft-coated_wheaten_terrier,n02098105_4260.jpg,264,384,105,116,500,375
Borzoi,n02090622_8469.jpg,361,409,109,160,500,372
Chesapeake_Bay_retriever,n02099849_2020.jpg,478,187,287,2,333,500
Chow,n02112137_3523.jpg,374,499,0,53,500,375
Wire-haired_fox_terrier,n02095314_1104.jpg,273,325,56,60,333,281
Mexican_hairless,n02113978_386.jpg,353,287,36,43,290,360
German_shepherd,n02106662_10858.jpg,356,482,0,12,500,357
Scotch_terrier,n02097298_15251.jpg,313,348,38,193,500,375
Beagle,n02088364_2000.jpg,309,284,217,129,500,333
Blenheim_spaniel,n02086646_371.jpg,275,345,44,61,404,300
American_Staffordshire_terrier,n02093428_8454.jpg,332,364,1,0,500,333
Cardigan,n02113186_7215.jpg,282,249,6,12,290,289
Curly-coated_retriever,n02099429_2767.jpg,246,325,20,36,330,247
Rhodesian_ridgeback,n02087394_4410.jpg,202,298,8,13,300,203
Basenji,n02110806_111.jpg,321,365,33,29,377,326
Miniature_poodle,n02113712_3293.jpg,388,271,7,31,349,400
Italian_greyhound,n02091032_4210.jpg,447,388,41,270,550,474
Kelpie,n02105412_6169.jpg,498,375,1,41,468,500
Bloodhound,n02088466_10545.jpg,314,499,57,0,500,375
English_foxhound,n02089973_2599.jpg,490,587,11,75,600,500
Basenji,n02110806_4792.jpg,344,499,36,141,500,375
Irish_water_spaniel,n02102973_1116.jpg,374,499,0,0,500,375
Blenheim_spaniel,n02086646_3739.jpg,299,399,1,1,400,300
Pomeranian,n02112018_3812.jpg,498,346,50,36,375,500
Saint_Bernard,n02109525_539.jpg,356,495,0,0,500,357
Malamute,n02110063_12334.jpg,476,245,8,47,315,500
Bull_mastiff,n02108422_5106.jpg,300,327,15,30,350,301
Leonberg,n02111129_38.jpg,291,405,81,146,500,333
Dandie_Dinmont,n02096437_3982.jpg,342,328,96,147,500,442
Irish_setter,n02100877_2741.jpg,301,496,56,104,500,376
Australian_terrier,n02096294_2672.jpg,374,332,44,60,414,424
Mexican_hairless,n02113978_1773.jpg,299,326,68,168,400,300
Bloodhound,n02088466_8605.jpg,289,448,118,140,500,375
Welsh_springer_spaniel,n02102177_3295.jpg,331,422,8,46,500,333
Sealyham_terrier,n02095889_3159.jpg,249,343,16,75,366,251
Kelpie,n02105412_2451.jpg,307,341,10,54,500,333
Dingo,n02115641_6974.jpg,323,319,116,197,500,375
EntleBucher,n02108000_3104.jpg,245,263,46,16,400,267
Malamute,n02110063_5727.jpg,332,383,3,140,500,333
Labrador_retriever,n02099712_3769.jpg,374,498,8,1,500,375
Border_terrier,n02093754_7440.jpg,374,406,60,1,500,375
Chesapeake_Bay_retriever,n02099849_693.jpg,374,208,160,21,500,375
Great_Pyrenees,n02111500_6289.jpg,199,194,6,0,200,201
Miniature_schnauzer,n02097047_2289.jpg,324,403,38,80,500,375
Maltese_dog,n02085936_5582.jpg,498,290,32,77,375,500
Silky_terrier,n02097658_10854.jpg,281,410,54,166,500,375
German_shepherd,n02106662_7212.jpg,498,373,63,38,377,500
Bouvier_des_Flandres,n02106382_2679.jpg,441,567,82,88,640,480
Yorkshire_terrier,n02094433_716.jpg,330,468,36,55,500,341
Chihuahua,n02085620_6931.jpg,332,380,87,96,500,333
Sealyham_terrier,n02095889_1175.jpg,137,204,11,15,219,160
Pembroke,n02113023_6869.jpg,352,400,78,194,500,462
Staffordshire_bullterrier,n02093256_13858.jpg,373,499,59,87,500,375
Standard_poodle,n02113799_2814.jpg,498,331,16,1,333,500
Malinois,n02105162_9188.jpg,305,412,24,162,500,333
Basenji,n02110806_2365.jpg,253,346,57,141,500,333
Chesapeake_Bay_retriever,n02099849_4636.jpg,359,414,30,104,500,375
Shetland_sheepdog,n02105855_4048.jpg,497,331,40,0,333,500
Papillon,n02086910_1775.jpg,488,301,1,6,333,500
Lakeland_terrier,n02095570_2524.jpg,306,457,22,0,500,375
Irish_wolfhound,n02090721_3940.jpg,470,249,171,151,333,500
Kuvasz,n02104029_4666.jpg,445,320,111,0,322,500
Weimaraner,n02092339_7210.jpg,383,206,116,88,340,500
Tibetan_mastiff,n02108551_2097.jpg,448,373,0,1,380,450
Dandie_Dinmont,n02096437_140.jpg,264,281,0,0,396,265
Lhasa,n02098413_244.jpg,308,248,163,73,500,333
Samoyed,n02111889_11502.jpg,222,448,59,129,500,375
Old_English_sheepdog,n02105641_6142.jpg,271,167,22,26,200,305
Bernese_mountain_dog,n02107683_4411.jpg,331,440,52,227,500,333
African_hunting_dog,n02116738_1739.jpg,253,352,22,87,388,259
Groenendael,n02105056_5700.jpg,316,357,59,71,500,368
Bull_mastiff,n02108422_4000.jpg,367,448,6,0,500,375
Dingo,n02115641_14117.jpg,309,513,23,87,550,319
African_hunting_dog,n02116738_1180.jpg,131,323,49,44,380,255
Cardigan,n02113186_2982.jpg,212,352,144,261,500,375
Leonberg,n02111129_1851.jpg,215,410,119,240,500,333
Bernese_mountain_dog,n02107683_71.jpg,313,375,39,172,500,333
Australian_terrier,n02096294_1586.jpg,195,257,44,28,350,233
Scotch_terrier,n02097298_8918.jpg,246,253,0,30,254,247
Mexican_hairless,n02113978_1999.jpg,374,395,0,127,500,375
West_Highland_white_terrier,n02098286_43.jpg,392,308,207,82,500,448
Miniature_pinscher,n02107312_5287.jpg,398,497,102,72,500,400
Lhasa,n02098413_20304.jpg,493,348,105,128,375,500
Silky_terrier,n02097658_10289.jpg,496,373,0,5,375,500
German_shepherd,n02106662_2884.jpg,321,380,40,126,500,334
Shih-Tzu,n02086240_12650.jpg,490,343,6,2,345,500
Cardigan,n02113186_9895.jpg,328,340,52,166,500,333
Maltese_dog,n02085936_7465.jpg,374,404,11,84,500,375
German_short-haired_pointer,n02100236_308.jpg,374,405,13,110,500,375
Norwegian_elkhound,n02091467_4270.jpg,254,488,66,97,500,332
Curly-coated_retriever,n02099429_2287.jpg,517,594,32,138,700,519
Sussex_spaniel,n02102480_366.jpg,663,549,27,56,599,681
Bernese_mountain_dog,n02107683_333.jpg,383,247,2,0,257,391
Newfoundland,n02111277_2411.jpg,238,217,42,53,240,240
Dingo,n02115641_592.jpg,379,260,12,31,278,380
Boxer,n02108089_13839.jpg,279,269,41,108,500,375
Gordon_setter,n02101006_1506.jpg,264,315,31,0,350,267
Affenpinscher,n02110627_12556.jpg,210,239,1,0,240,240
Maltese_dog,n02085936_4921.jpg,278,360,88,150,500,333
Black-and-tan_coonhound,n02089078_1366.jpg,195,268,33,0,275,196
Maltese_dog,n02085936_4490.jpg,447,329,78,52,333,500
Gordon_setter,n02101006_1126.jpg,145,161,32,20,200,150
Komondor,n02105505_3132.jpg,226,159,40,31,177,236
Kuvasz,n02104029_2071.jpg,342,312,131,145,375,500
Pomeranian,n02112018_919.jpg,350,322,73,149,500,375
Samoyed,n02111889_5932.jpg,325,379,2,125,500,333
German_shepherd,n02106662_15429.jpg,332,375,52,57,500,333
Groenendael,n02105056_3322.jpg,286,450,64,147,500,375
Border_collie,n02106166_3447.jpg,326,288,117,125,500,375
Bernese_mountain_dog,n02107683_2043.jpg,322,347,2,167,500,333
Afghan_hound,n02088094_3400.jpg,374,356,168,192,500,375
Lakeland_terrier,n02095570_4042.jpg,356,411,62,104,500,375
Vizsla,n02100583_3383.jpg,383,130,212,53,375,500
Cairn,n02096177_2143.jpg,357,305,157,82,375,500
Scottish_deerhound,n02092002_7539.jpg,332,298,6,1,500,333
Bedlington_terrier,n02093647_322.jpg,1290,1662,37,306,1888,1348
Lakeland_terrier,n02095570_6190.jpg,183,207,9,19,216,189
Cardigan,n02113186_7353.jpg,303,431,60,13,500,375
Malinois,n02105162_5489.jpg,322,264,0,0,265,323
English_foxhound,n02089973_99.jpg,262,399,63,107,480,326
Greater_Swiss_Mountain_dog,n02107574_140.jpg,498,331,47,42,333,500
Scottish_deerhound,n02092002_5936.jpg,254,282,111,114,360,270
Komondor,n02105505_2872.jpg,234,331,37,67,350,252
Vizsla,n02100583_3274.jpg,367,305,126,183,500,375
Japanese_spaniel,n02085782_4574.jpg,120,176,20,57,200,150
Pembroke,n02113023_7254.jpg,490,370,0,35,375,500
Irish_terrier,n02093991_2759.jpg,498,324,0,55,333,500
Miniature_poodle,n02113712_3196.jpg,302,499,0,38,500,303
Border_terrier,n02093754_2453.jpg,481,216,87,23,385,500
Samoyed,n02111889_8626.jpg,333,365,29,224,500,375
Bedlington_terrier,n02093647_2616.jpg,349,175,51,1,177,350
Bouvier_des_Flandres,n02106382_1648.jpg,172,247,27,73,272,207
Vizsla,n02100583_9922.jpg,303,340,16,182,500,333
Saint_Bernard,n02109525_13655.jpg,471,638,130,142,640,480
Doberman,n02107142_12488.jpg,332,499,28,133,500,333
Irish_water_spaniel,n02102973_4287.jpg,276,196,29,19,222,299
Japanese_spaniel,n02085782_2914.jpg,189,438,57,273,600,448
Shetland_sheepdog,n02105855_9903.jpg,374,499,22,121,500,375
Siberian_husky,n02110185_6780.jpg,498,373,106,143,375,500
Briard,n02105251_4027.jpg,274,274,6,55,350,275
Bull_mastiff,n02108422_754.jpg,374,456,41,0,500,375
Bedlington_terrier,n02093647_227.jpg,264,399,21,31,400,300
Blenheim_spaniel,n02086646_2236.jpg,288,329,62,47,409,307
Curly-coated_retriever,n02099429_3194.jpg,336,331,57,25,450,338
Wire-haired_fox_terrier,n02095314_2754.jpg,144,192,10,4,200,145
Japanese_spaniel,n02085782_3810.jpg,349,286,1,8,287,350
Bloodhound,n02088466_8664.jpg,284,369,42,21,500,375
Brittany_spaniel,n02101388_1222.jpg,532,502,218,180,640,587
Kuvasz,n02104029_1779.jpg,314,354,134,223,500,375
Old_English_sheepdog,n02105641_11847.jpg,458,280,47,30,376,500
Basenji,n02110806_759.jpg,368,483,17,35,500,375
Boston_bull,n02096585_1970.jpg,326,407,1,45,500,375
Borzoi,n02090622_10355.jpg,253,292,13,12,308,265
Pembroke,n02113023_1659.jpg,332,387,26,195,500,333
Scottish_deerhound,n02092002_6698.jpg,397,269,222,192,333,500
Curly-coated_retriever,n02099429_537.jpg,371,396,49,94,450,373
American_Staffordshire_terrier,n02093428_16245.jpg,374,440,27,0,500,375
Chow,n02112137_6808.jpg,447,317,72,45,375,500
Bluetick,n02088632_1541.jpg,498,459,2,37,461,500
Norfolk_terrier,n02094114_1497.jpg,172,223,26,31,243,181
Saluki,n02091831_97.jpg,497,348,0,0,365,500
Miniature_pinscher,n02107312_3636.jpg,320,363,90,122,500,375
Maltese_dog,n02085936_3947.jpg,340,332,26,0,500,375
Whippet,n02091134_16541.jpg,420,480,28,102,500,500
Maltese_dog,n02085936_2636.jpg,261,434,71,100,500,336
Doberman,n02107142_4017.jpg,495,217,102,63,364,500
Great_Dane,n02109047_25719.jpg,406,480,73,170,640,480
Japanese_spaniel,n02085782_3896.jpg,199,183,1,0,200,200
Pomeranian,n02112018_12493.jpg,487,416,8,76,444,500
Irish_wolfhound,n02090721_5465.jpg,332,379,46,160,500,333
Yorkshire_terrier,n02094433_3431.jpg,231,244,38,69,280,280
Samoyed,n02111889_5121.jpg,460,330,183,137,375,500
Kerry_blue_terrier,n02093859_2114.jpg,374,499,51,123,500,375
Kelpie,n02105412_7849.jpg,332,499,19,96,500,333
Silky_terrier,n02097658_9017.jpg,332,499,1,137,500,333
EntleBucher,n02108000_729.jpg,597,654,69,1,677,677
Papillon,n02086910_6882.jpg,332,430,55,260,500,333
EntleBucher,n02108000_191.jpg,389,245,35,38,296,400
African_hunting_dog,n02116738_3819.jpg,332,499,51,25,500,333
Bull_mastiff,n02108422_1836.jpg,374,407,2,0,500,375
Beagle,n02088364_959.jpg,291,359,24,49,360,292
Scotch_terrier,n02097298_9217.jpg,424,315,28,1,320,426
Eskimo_dog,n02109961_3217.jpg,118,110,0,6,180,120
American_Staffordshire_terrier,n02093428_443.jpg,356,499,44,19,500,357
Rhodesian_ridgeback,n02087394_3673.jpg,374,394,144,222,500,375
Lakeland_terrier,n02095570_4331.jpg,373,481,3,0,500,375
Doberman,n02107142_3741.jpg,498,263,140,1,375,500
Miniature_pinscher,n02107312_7391.jpg,374,370,31,61,500,375
Tibetan_mastiff,n02108551_2861.jpg,523,636,42,174,700,525
Yorkshire_terrier,n02094433_3400.jpg,369,433,11,63,500,375
Eskimo_dog,n02109961_2188.jpg,276,306,4,46,483,321
Sealyham_terrier,n02095889_2319.jpg,196,220,14,30,270,211
Bernese_mountain_dog,n02107683_7196.jpg,423,372,137,101,375,500
Great_Dane,n02109047_4267.jpg,163,230,11,35,250,177
German_short-haired_pointer,n02100236_5834.jpg,374,499,57,71,500,375
Appenzeller,n02107908_2913.jpg,287,402,16,72,500,333
Malamute,n02110063_15580.jpg,323,455,41,0,500,375
Maltese_dog,n02085936_2976.jpg,282,348,52,42,500,375
Lhasa,n02098413_1454.jpg,331,325,1,0,500,332
Whippet,n02091134_10219.jpg,287,421,109,224,500,350
Great_Pyrenees,n02111500_4315.jpg,332,319,121,4,500,333
Pekinese,n02086079_11322.jpg,374,387,12,2,500,375
Groenendael,n02105056_7435.jpg,318,396,78,265,500,333
Boxer,n02108089_11032.jpg,371,457,0,3,500,375
Boston_bull,n02096585_32.jpg,334,369,0,47,500,335
Ibizan_hound,n02091244_2871.jpg,278,297,17,20,399,283
Standard_poodle,n02113799_5486.jpg,274,446,43,144,500,472
Chesapeake_Bay_retriever,n02099849_2.jpg,228,278,22,12,300,233
Samoyed,n02111889_3253.jpg,374,499,71,316,500,375
Whippet,n02091134_9671.jpg,299,402,54,25,500,346
Norwich_terrier,n02094258_1219.jpg,291,328,36,146,500,375
Maltese_dog,n02085936_10719.jpg,815,795,34,4,800,818
Cardigan,n02113186_9615.jpg,124,171,44,102,500,333
Groenendael,n02105056_3123.jpg,498,274,0,3,333,500
Chow,n02112137_2028.jpg,374,412,16,47,500,375
Tibetan_terrier,n02097474_1023.jpg,267,353,76,155,500,332
Dhole,n02115913_3107.jpg,183,278,96,221,500,333
Standard_poodle,n02113799_2401.jpg,356,490,75,223,500,357
Old_English_sheepdog,n02105641_1623.jpg,318,455,39,46,500,375
Affenpinscher,n02110627_8099.jpg,353,428,21,41,500,375
Whippet,n02091134_13143.jpg,334,367,151,138,425,343
Samoyed,n02111889_4194.jpg,243,397,0,85,500,333
Groenendael,n02105056_5290.jpg,332,405,1,0,500,333
Australian_terrier,n02096294_8706.jpg,330,372,44,0,500,333
Otterhound,n02091635_963.jpg,320,237,48,106,300,338
Curly-coated_retriever,n02099429_1236.jpg,278,342,66,62,500,332
African_hunting_dog,n02116738_219.jpg,230,163,176,70,500,375
Cardigan,n02113186_10944.jpg,324,364,51,108,500,375
Brittany_spaniel,n02101388_1965.jpg,374,356,8,116,500,375
Wire-haired_fox_terrier,n02095314_3512.jpg,306,379,3,20,400,311
Eskimo_dog,n02109961_2317.jpg,332,392,18,137,500,333
Irish_setter,n02100877_7943.jpg,482,310,100,78,324,500
Bedlington_terrier,n02093647_534.jpg,374,499,88,116,500,375
Sussex_spaniel,n02102480_7641.jpg,588,605,16,134,750,592
Borzoi,n02090622_6979.jpg,302,187,53,61,500,365
Irish_terrier,n02093991_4052.jpg,156,143,30,6,170,170
Basset,n02088238_9162.jpg,345,382,33,103,500,375
West_Highland_white_terrier,n02098286_4154.jpg,332,368,1,1,500,333
Pomeranian,n02112018_5840.jpg,374,486,1,109,500,375
American_Staffordshire_terrier,n02093428_5635.jpg,374,499,97,82,500,375
Shetland_sheepdog,n02105855_3292.jpg,399,467,1,14,500,411
Miniature_pinscher,n02107312_7018.jpg,309,349,58,172,500,332
Miniature_pinscher,n02107312_5862.jpg,251,360,64,64,500,333
Briard,n02105251_8930.jpg,374,384,64,191,500,375
Old_English_sheepdog,n02105641_1019.jpg,309,381,41,138,500,335
Affenpinscher,n02110627_12579.jpg,865,500,206,33,587,894
Australian_terrier,n02096294_3413.jpg,170,191,2,9,204,171
Collie,n02106030_16370.jpg,331,317,59,99,500,332
Sussex_spaniel,n02102480_7580.jpg,455,255,224,8,400,481
Sealyham_terrier,n02095889_5212.jpg,349,396,6,2,400,350
Komondor,n02105505_4115.jpg,867,760,4,126,900,872
Norwich_terrier,n02094258_726.jpg,482,290,240,170,335,500
Dhole,n02115913_1188.jpg,205,277,42,66,320,240
Italian_greyhound,n02091032_770.jpg,332,227,65,85,500,333
Norwegian_elkhound,n02091467_7070.jpg,321,421,38,91,500,375
Sussex_spaniel,n02102480_6842.jpg,406,284,75,124,500,430
Siberian_husky,n02110185_8327.jpg,284,362,42,153,500,375
Komondor,n02105505_3967.jpg,340,474,101,156,500,365
Newfoundland,n02111277_6971.jpg,498,435,60,0,458,500
Eskimo_dog,n02109961_2609.jpg,524,351,51,0,353,526
Clumber,n02101556_3707.jpg,419,477,0,0,480,421
Vizsla,n02100583_9956.jpg,125,345,2,223,454,500
Gordon_setter,n02101006_3748.jpg,473,267,236,110,300,500
Bull_mastiff,n02108422_4639.jpg,298,353,143,260,500,375
Beagle,n02088364_12816.jpg,449,406,1,0,500,452
Shih-Tzu,n02086240_4190.jpg,217,247,16,35,300,225
Newfoundland,n02111277_7851.jpg,374,403,89,190,500,375
Sealyham_terrier,n02095889_4826.jpg,137,235,11,16,249,151
Great_Pyrenees,n02111500_4993.jpg,290,379,147,188,500,334
